id,target
test_00000,-1.0
test_00001,-2.55
test_00002,0.5
test_00003,6.8
test_00004,3.5
test_00005,-15.2
test_00006,-2.0
test_00007,-10.350000000000001
test_00008,-1.5
test_00009,-3.1
test_00010,-7.49
test_00011,-4.5
test_00012,-0.5
test_00013,0.6
test_00014,-9.25
test_00015,-4.5
test_00016,-1.65
test_00017,1.9
test_00018,1.8
test_00019,-7.9
test_00020,0.0
test_00021,-4.5
test_00022,-12.2
test_00023,1.7
test_00024,0.29
test_00025,-0.75
test_00026,-3.0
test_00027,-1.0
test_00028,0.5
test_00029,4.0
test_00030,-1.75
test_00031,-1.7
test_00032,-0.1
test_00033,-2.1
test_00034,-4.0
test_00035,3.0
test_00036,-10.1
test_00037,0.0
test_00038,-1.3
test_00039,0.0
test_00040,-6.0
test_00041,-0.2
test_00042,-3.7
test_00043,-16.05
test_00044,2.5
test_00045,3.5
test_00046,-2.25
test_00047,-0.4
test_00048,11.2
test_00049,-6.1
test_00050,-18.7
test_00051,1.5
test_00052,0.41
test_00053,-3.3
test_00054,-0.4222222222222223
test_00055,-0.04999999999999999
test_00056,0.83
test_00057,-0.5
test_00058,-0.2
test_00059,-16.3
test_00060,-3.3
test_00061,3.042857142857143
test_00062,-4.766
test_00063,-14.575
test_00064,0.17
test_00065,-15.0
test_00066,-24.75
test_00067,-0.8500000000000001
test_00068,3.2
test_00069,-0.32
test_00070,-2.0
test_00071,-5.85
test_00072,6.0
test_00073,1.9
test_00074,-3.6
test_00075,1.5
test_00076,3.3
test_00077,-4.5
test_00078,-13.3
test_00079,-2.8
test_00080,2.0
test_00081,-2.3
test_00082,-1.0
test_00083,2.5
test_00084,-0.55
test_00085,0.0
test_00086,-24.4
test_00087,0.1
test_00088,0.5
test_00089,2.75
test_00090,1.83
test_00091,0.6000000000000001
test_00092,-0.75
test_00093,-1.5
test_00094,3.1
test_00095,-5.0
test_00096,0.1499999999999999
test_00097,0.68
test_00098,0.0
test_00099,-6.5
test_00100,2.0
test_00101,2.5
test_00102,0.35
test_00103,-13.2
test_00104,-0.5
test_00105,-2.5
test_00106,-13.3
test_00107,3.5
test_00108,-4.0
test_00109,-12.2
test_00110,-1.8
test_00111,2.85
test_00112,0.67
test_00113,-0.5
test_00114,-7.4
test_00115,-5.3
test_00116,-0.6
test_00117,-0.5
test_00118,-1.7
test_00119,-23.7
test_00120,2.0
test_00121,0.1
test_00122,-11.95
test_00123,-4.2
test_00124,-0.5
test_00125,0.4
test_00126,2.83
test_00127,0.5
test_00128,0.0
test_00129,-4.2
test_00130,0.0
test_00131,8.0
test_00132,1.3
test_00133,0.3
test_00134,-4.9
test_00135,-2.5
test_00136,-2.0
test_00137,-6.05
test_00138,-2.5
test_00139,-11.3
test_00140,2.0
test_00141,0.67
test_00142,0.5
test_00143,0.83
test_00144,-16.7
test_00145,-1.0
test_00146,-8.2
test_00147,0.0
test_00148,-28.4
test_00149,7.6
test_00150,-6.8275
test_00151,-0.5
test_00152,-1.0
test_00153,-9.3
test_00154,0.0
test_00155,6.0
test_00156,-5.3
test_00157,-6.15
test_00158,-0.44999999999999996
test_00159,-10.1
test_00160,4.3
test_00161,-10.1
test_00162,0.83
test_00163,-7.9
test_00164,0.5
test_00165,-3.133333333333333
test_00166,-1.0
test_00167,0.5
test_00168,1.1825
test_00169,1.9
test_00170,-10.1
test_00171,-1.0
test_00172,-3.9
test_00173,-1.65
test_00174,0.09999999999999999
test_00175,-3.1
test_00176,0.0
test_00177,-2.2
test_00178,-21.4
test_00179,-1.3
test_00180,-6.3
test_00181,-8.55
test_00182,-16.1
test_00183,-14.9
test_00184,-8.4
test_00185,0.0
test_00186,-0.5
test_00187,5.3
test_00188,-1.0
test_00189,3.5
test_00190,2.1
test_00191,-1.17
test_00192,1.33
test_00193,5.5
test_00194,-2.25
test_00195,0.5
test_00196,0.0
test_00197,0.5
test_00198,0.0
test_00199,-0.5
test_00200,0.0
test_00201,-6.1
test_00202,-16.4
test_00203,-6.0
test_00204,0.5
test_00205,-10.5
test_00206,0.755
test_00207,-4.9
test_00208,-2.0
test_00209,-1.5
test_00210,-3.0433333333333334
test_00211,-12.8
test_00212,-8.1
test_00213,-5.3
test_00214,-1.0
test_00215,-4.17
test_00216,-3.0
test_00217,-0.44
test_00218,9.5
test_00219,4.0
test_00220,0.5
test_00221,-12.333333333333334
test_00222,-18.58
test_00223,-0.4
test_00224,1.0
test_00225,-3.4000000000000004
test_00226,-4.699999999999999
test_00227,-0.7
test_00228,0.0
test_00229,-0.5
test_00230,-0.5
test_00231,-0.5
test_00232,-17.5
test_00233,3.4
test_00234,-0.5
test_00235,-0.53
test_00236,-6.0
test_00237,-5.1
test_00238,1.1
test_00239,-8.383333333333333
test_00240,-3.1
test_00241,-3.1
test_00242,0.6
test_00243,-3.0
test_00244,-2.1
test_00245,-2.3
test_00246,-0.5
test_00247,-2.5
test_00248,-19.2
test_00249,-1.5
test_00250,-4.55
test_00251,0.5
test_00252,-5.9
test_00253,-21.6
test_00254,-0.3
test_00255,-1.0
test_00256,6.5
test_00257,0.0
test_00258,-12.0
test_00259,-0.5
test_00260,-10.25
test_00261,-2.0
test_00262,2.5
test_00263,0.0
test_00264,0.5
test_00265,-0.5
test_00266,-3.1
test_00267,-4.6
test_00268,0.0
test_00269,-0.24
test_00270,-0.9
test_00271,-1.17
test_00272,-1.3
test_00273,2.5
test_00274,-2.0
test_00275,-0.25
test_00276,-0.175
test_00277,-1.0
test_00278,0.5
test_00279,-0.5
test_00280,0.9933333333333333
test_00281,-4.6
test_00282,-5.9
test_00283,-14.2
test_00284,-0.8
test_00285,-5.0
test_00286,-0.19999999999999996
test_00287,-0.5
test_00288,-4.0
test_00289,-0.83
test_00290,-5.55
test_00291,-1.0
test_00292,-1.0
test_00293,-2.5
test_00294,-1.5
test_00295,1.9
test_00296,-2.25
test_00297,-0.33
test_00298,-13.2
test_00299,-2.17
test_00300,1.475
test_00301,4.3
test_00302,0.75
test_00303,0.12
test_00304,-5.5
test_00305,4.0
test_00306,0.5
test_00307,0.17
