id,target
test_00000,2.4
test_00001,2.3
test_00002,6.4
test_00003,5.9
test_00004,3.3
test_00005,2.7
test_00006,3.8
test_00007,4.1
test_00008,3.9
test_00009,10.6
test_00010,3.5
test_00011,4.7
test_00012,4.0
test_00013,3.6
test_00014,14.4
test_00015,4.9
test_00016,5.4
test_00017,4.9
test_00018,4.5
test_00019,4.7
test_00020,4.5
test_00021,5.0
test_00022,4.9
test_00023,5.3
test_00024,5.4
test_00025,4.2
test_00026,4.8
test_00027,4.8
test_00028,4.2
test_00029,19.3
test_00030,4.2
test_00031,4.4
test_00032,11.2
test_00033,5.0
test_00034,4.2
test_00035,3.7
test_00036,3.6
test_00037,3.7
test_00038,3.4
test_00039,37.5
test_00040,3.8
test_00041,3.8
test_00042,4.6
test_00043,3.8
test_00044,3.8
test_00045,3.3
test_00046,3.5
test_00047,3.4
test_00048,18.5
test_00049,1.2
test_00050,0.9
test_00051,1.3
test_00052,2.9
test_00053,6.6
test_00054,20.1
test_00055,1.8
test_00056,7.1
test_00057,1.3
test_00058,19.4
test_00059,1.0
test_00060,1.2
test_00061,1.1
test_00062,1.3
test_00063,-0.2
