id,target
train_00000,2.0
train_00001,25.9
train_00002,2.7
train_00003,2.2
train_00004,10.9
train_00005,2.3
train_00006,2.6
train_00007,3.1
train_00008,2.2
train_00009,1.9
train_00010,2.5
train_00011,2.5
train_00012,2.3
train_00013,2.2
train_00014,7.2
train_00015,9.2
train_00016,3.0
train_00017,2.9
train_00018,3.3
train_00019,3.2
train_00020,3.1
train_00021,3.1
train_00022,2.7
train_00023,3.2
train_00024,3.4
train_00025,28.7
train_00026,3.4
train_00027,3.0
train_00028,3.4
train_00029,3.7
train_00030,7.9
train_00031,4.5
train_00032,11.5
train_00033,2.9
train_00034,3.5
train_00035,3.5
train_00036,3.1
train_00037,6.1
train_00038,3.5
train_00039,4.1
train_00040,28.0
train_00041,3.7
train_00042,5.7
train_00043,3.6
train_00044,3.5
train_00045,5.1
train_00046,5.2
train_00047,5.2
train_00048,5.3
train_00049,5.6
train_00050,5.1
train_00051,5.5
train_00052,5.5
train_00053,18.2
train_00054,4.9
train_00055,21.7
train_00056,5.5
train_00057,5.7
train_00058,4.9
train_00059,5.1
train_00060,4.4
train_00061,4.8
train_00062,4.5
train_00063,4.1
train_00064,10.6
train_00065,5.0
train_00066,4.8
train_00067,4.8
train_00068,5.0
train_00069,5.2
train_00070,4.3
train_00071,4.2
train_00072,4.0
train_00073,4.9
train_00074,4.7
train_00075,4.6
train_00076,4.1
train_00077,4.6
train_00078,9.6
train_00079,4.4
train_00080,7.9
train_00081,20.5
train_00082,4.4
train_00083,15.2
train_00084,4.7
train_00085,5.2
train_00086,4.4
train_00087,5.7
train_00088,4.3
train_00089,3.9
train_00090,9.8
train_00091,4.4
train_00092,30.5
train_00093,4.3
train_00094,4.8
train_00095,22.2
train_00096,4.4
train_00097,4.0
train_00098,4.7
train_00099,4.3
train_00100,34.0
train_00101,11.2
train_00102,4.4
train_00103,4.7
train_00104,3.7
train_00105,3.9
train_00106,8.1
train_00107,4.0
train_00108,6.2
train_00109,3.7
train_00110,4.2
train_00111,4.0
train_00112,3.6
train_00113,4.0
train_00114,3.9
train_00115,3.7
train_00116,3.9
train_00117,3.7
train_00118,19.1
train_00119,3.5
train_00120,5.0
train_00121,4.2
train_00122,9.1
train_00123,3.7
train_00124,3.6
train_00125,3.7
train_00126,23.5
train_00127,4.8
train_00128,11.8
train_00129,4.6
train_00130,6.7
train_00131,3.5
train_00132,4.1
train_00133,3.7
train_00134,3.6
train_00135,3.3
train_00136,4.8
train_00137,3.5
train_00138,3.6
train_00139,3.7
train_00140,4.0
train_00141,4.1
train_00142,3.7
train_00143,3.2
train_00144,4.5
train_00145,3.4
train_00146,20.2
train_00147,3.2
train_00148,9.2
train_00149,1.1
train_00150,3.0
train_00151,0.9
train_00152,18.7
train_00153,1.2
train_00154,1.2
train_00155,1.2
train_00156,40.0
train_00157,0.8
train_00158,13.1
train_00159,2.2
train_00160,1.1
train_00161,1.2
train_00162,1.0
train_00163,14.7
train_00164,2.1
train_00165,18.8
train_00166,1.7
train_00167,1.5
train_00168,1.9
train_00169,10.1
train_00170,1.8
train_00171,18.4
train_00172,5.2
train_00173,1.9
train_00174,3.3
train_00175,5.5
train_00176,1.6
train_00177,1.3
train_00178,1.5
train_00179,1.0
train_00180,9.3
train_00181,1.8
train_00182,1.4
train_00183,1.5
train_00184,1.4
train_00185,1.3
train_00186,1.0
train_00187,1.1
train_00188,1.3
train_00189,2.2
train_00190,1.3
train_00191,1.4
train_00192,14.1
train_00193,19.1
train_00194,22.7
train_00195,21.1
train_00196,17.8
train_00197,22.2
train_00198,24.4
train_00199,25.3
train_00200,21.7
train_00201,18.5
train_00202,21.4
train_00203,18.5
train_00204,28.3
train_00205,22.7
train_00206,1.7
train_00207,26.1
train_00208,23.7
train_00209,30.3
train_00210,33.7
train_00211,26.8
train_00212,32.8
train_00213,31.5
train_00214,29.6
train_00215,35.4
train_00216,34.0
train_00217,32.9
train_00218,23.7
train_00219,31.4
train_00220,36.2
train_00221,28.5
train_00222,34.2
train_00223,31.9
