id,Li,Al,Ca,V,Ni,Nb,Rh,Ag,Sn,Cs,Ba,Ce,Sm,Hf,Ir,Au,Bi,CH4_conv_pct
train_00000,0.0,0.0,0.681,0.0,0.0,0.7,0.0,0.402,0.0,0.529,0.0,0.0,0.373,0.0,0.0,0.0,0.0,2.0
train_00001,0.845,0.558,0.0,0.0,0.282,0.7,0.0,0.0,0.0,0.0,0.0,0.426,0.0,0.0,0.0,0.0,0.0,25.9
train_00002,0.0,0.0,0.545,0.0,0.565,0.0,0.0,0.0,0.0,0.0,0.913,0.0,0.373,0.0,0.0,0.371,0.0,2.7
train_00003,0.704,0.0,0.273,0.0,0.565,0.0,0.0,0.803,0.0,0.0,0.0,0.0,0.0,0.421,0.0,0.0,0.0,2.2
train_00004,0.0,0.558,0.0,0.0,0.706,0.0,0.0,0.0,0.0,0.529,0.0,0.568,0.0,0.0,0.4,0.0,0.0,10.9
train_00005,0.0,0.279,0.818,0.0,0.0,0.0,0.0,0.536,0.0,0.0,0.0,0.0,0.621,0.0,0.0,0.371,0.0,2.3
train_00006,0.0,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,0.0,0.426,0.745,0.421,0.0,0.371,0.0,2.6
train_00007,1.126,0.0,0.0,0.0,0.0,0.42,0.44,0.67,0.0,0.0,0.0,0.0,0.0,0.14,0.0,0.0,0.0,3.1
train_00008,0.704,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.396,0.0,0.568,0.373,0.701,0.0,0.0,0.0,2.2
train_00009,0.0,0.0,0.409,0.0,0.0,1.12,0.0,0.536,0.0,0.0,0.0,0.0,0.0,0.421,0.0,0.248,0.0,1.9
train_00010,0.0,0.0,1.226,0.26,0.847,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.267,0.0,0.0,2.5
train_00011,0.0,0.0,0.0,0.26,0.0,0.42,0.0,0.536,0.0,0.793,0.0,0.0,0.0,0.701,0.0,0.0,0.0,2.5
train_00012,0.0,0.279,0.0,0.52,0.0,0.0,0.0,0.0,0.0,0.529,0.0,0.0,0.0,0.0,0.667,0.0,0.565,2.3
train_00013,0.845,0.0,0.273,0.13,0.847,0.0,0.0,0.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2
train_00014,0.0,0.0,0.0,0.0,0.706,0.14,0.0,0.0,0.0,0.661,0.0,0.0,0.745,0.0,0.4,0.0,0.0,7.2
train_00015,0.0,0.837,0.0,0.0,0.0,0.7,0.293,0.402,0.0,0.0,0.0,0.0,0.0,0.561,0.0,0.0,0.0,9.2
train_00016,0.0,0.0,0.514,0.0,0.0,0.175,0.0,0.0,0.0,0.0,0.0,0.198,0.678,0.0,0.0,0.0,0.354,3.0
train_00017,0.0,0.295,0.0,0.0,0.792,0.0,0.0,0.358,0.233,0.615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9
train_00018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.358,0.698,0.0,0.849,0.0,0.226,0.286,0.0,0.0,0.0,3.3
