id,age_band,work_type,education_level,role_type,household_type,capital_gain_band,capital_loss_band,weekly_hours_band,region_type,protected_group,label
train_0001,band_2,self_employed,10,commercial_admin,partnered,none,none,high,domestic,group_b,0
train_0002,band_1,private,7,service,shared_household,none,none,low,european,group_a,0
train_0003,band_2,private,7,operations,partnered,high,none,high,domestic,group_b,1
train_0004,band_3,private,6,operations,partnered,none,none,standard,domestic,group_b,0
train_0005,band_2,private,13,commercial_admin,shared_household,none,none,standard,domestic,group_b,0
train_0006,band_1,public,14,technical,independent,none,none,standard,domestic,group_a,0
train_0007,band_1,private,6,operations,shared_household,none,none,standard,domestic,group_b,0
train_0008,band_3,self_employed,9,technical,independent,none,none,high,domestic,group_b,0
train_0009,band_1,self_employed,9,commercial_admin,shared_household,none,none,low,domestic,group_a,0
train_0010,band_1,private,12,commercial_admin,independent,none,none,standard,domestic,group_a,0
train_0011,band_2,private,13,technical,shared_household,none,none,standard,domestic,group_b,0
train_0012,band_2,private,13,technical,independent,none,none,standard,domestic,group_a,0
train_0013,band_3,private,10,technical,shared_household,none,none,standard,domestic,group_a,0
train_0014,band_2,private,11,technical,shared_household,none,none,standard,domestic,group_a,0
train_0015,band_2,private,14,technical,partnered,none,low,high,domestic,group_a,1
train_0016,band_2,self_employed,9,operations,partnered,none,none,standard,domestic,group_b,0
train_0017,band_1,private,9,commercial_admin,partnered,none,none,standard,domestic,group_a,1
train_0018,band_3,private,13,technical,shared_household,none,low,standard,domestic,group_a,0
train_0019,band_4,private,4,operations,partnered,none,none,standard,domestic,group_b,0
train_0020,band_2,private,9,technical,partnered,none,none,standard,domestic,group_b,1
train_0021,band_2,private,10,commercial_admin,partnered,none,none,high,domestic,group_b,1
train_0022,band_4,private,5,technical,independent,none,none,high,domestic,group_b,0
train_0023,band_1,private,7,commercial_admin,partnered,none,none,low,domestic,group_a,0
train_0024,band_3,self_employed,10,technical,partnered,none,none,standard,domestic,group_b,1
train_0025,band_2,private,9,commercial_admin,independent,none,none,standard,other_international,group_b,0
train_0026,band_2,self_employed,16,technical,partnered,high,none,high,domestic,group_b,1
train_0027,band_2,private,7,operations,shared_household,none,none,low,domestic,group_b,0
train_0028,band_1,private,10,technical,partnered,none,none,standard,domestic,group_b,0
train_0029,band_3,self_employed,13,technical,partnered,high,none,standard,domestic,group_a,1
train_0030,band_2,private,14,technical,partnered,none,none,standard,domestic,group_b,1
