id,target
test_00000,1
test_00001,1
test_00002,1
test_00003,0
test_00004,1
test_00005,1
test_00006,0
test_00007,1
test_00008,0
test_00009,0
test_00010,1
test_00011,0
test_00012,1
test_00013,0
test_00014,1
test_00015,0
test_00016,0
test_00017,1
test_00018,0
test_00019,0
test_00020,0
test_00021,1
test_00022,1
test_00023,1
test_00024,1
test_00025,1
test_00026,0
test_00027,0
test_00028,0
test_00029,0
test_00030,1
test_00031,1
test_00032,0
test_00033,1
test_00034,1
test_00035,1
test_00036,1
test_00037,1
test_00038,0
test_00039,1
test_00040,1
test_00041,0
test_00042,0
test_00043,1
test_00044,1
test_00045,0
test_00046,1
test_00047,0
test_00048,1
test_00049,0
test_00050,0
test_00051,0
test_00052,0
test_00053,1
test_00054,0
test_00055,0
test_00056,0
test_00057,1
test_00058,1
test_00059,0
test_00060,1
test_00061,1
test_00062,0
test_00063,0
test_00064,0
test_00065,1
test_00066,1
test_00067,1
test_00068,1
test_00069,1
test_00070,0
test_00071,0
test_00072,1
test_00073,0
test_00074,1
test_00075,1
test_00076,0
test_00077,0
test_00078,0
test_00079,1
test_00080,1
test_00081,1
test_00082,0
test_00083,1
test_00084,0
test_00085,0
test_00086,1
test_00087,1
test_00088,0
test_00089,1
test_00090,0
test_00091,0
test_00092,1
test_00093,1
test_00094,1
test_00095,0
test_00096,0
test_00097,1
test_00098,0
test_00099,1
test_00100,1
test_00101,1
test_00102,1
test_00103,1
test_00104,0
test_00105,1
test_00106,0
test_00107,1
test_00108,1
test_00109,1
test_00110,1
test_00111,1
test_00112,0
test_00113,0
test_00114,1
test_00115,1
test_00116,1
test_00117,0
test_00118,0
test_00119,1
test_00120,0
test_00121,1
test_00122,0
test_00123,1
test_00124,1
test_00125,1
test_00126,0
test_00127,0
test_00128,1
test_00129,1
test_00130,0
test_00131,0
test_00132,1
test_00133,1
test_00134,1
test_00135,0
test_00136,1
test_00137,1
test_00138,0
test_00139,1
test_00140,1
test_00141,0
